Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Ronald Acuña Jr.","ATL",152,688,585,178,99,34,2,43,140,116,88,4,114,11,4,0,,51,10,0.30427350427350425,0.12790697674418605,0.16569767441860464,0.7719298245614035,0.40261627906976744,0.5897435897435898,0.4172730584416473,0.9923598688133572,0.2854700854700855,6.8268063144269675,0.3125,,4.484425735659897,140.33807423488065,56.50927844420835,164.07141098472442,4.484425735659897,,59.094300965413595,-5.700000047683716,7.655339632836722,,,,,,,,1291.9,8.499342105263159,1291.9,8.499342105263159,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Juan Soto","NYM",152,660,523,144,85,25,1,33,101,103,131,13,108,3,3,0,,11,4,0.27533460803059273,0.1984848484848485,0.16363636363636364,1.212962962962963,0.4212121212121212,0.5162523900573613,0.3989308104264497,0.9374645112694826,0.2409177820267686,3.722132148316561,0.2883116883116883,,-1.07556760776788,124.57264496888806,44.15548621620823,157.2610326955431,-1.07556760776788,,44.207484409584,-9.875132179764844,5.684297868229773,,,,,,,,1083.5,7.128289473684211,1083.5,7.128289473684211,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Aaron Judge","NYY",128,552,461,125,65,20,0,40,89,101,84,9,149,3,4,0,,5,1,0.27114967462039047,0.15217391304347827,0.26992753623188404,0.5637583892617449,0.38405797101449274,0.5748373101952278,0.399216720192911,0.9588952812097205,0.3036876355748373,3.022779876562309,0.3079710144927536,,-0.5239107073284686,104.3191024444073,37.06111512398418,157.459203021678,-0.5239107073284686,,37.48025945033949,0.315344010711347,5.659701842818043,,,,,,,,940.7,7.34921875,940.7,7.34921875,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Julio Rodríguez","SEA",152,673,613,168,103,31,2,32,100,104,48,5,157,10,2,0,,34,9,0.2740619902120718,0.0713224368499257,0.23328380386329867,0.3057324840764331,0.33580980683506684,0.48776508972267535,0.3501654946340058,0.8235748965577422,0.21370309951060357,6.014549129038803,0.3192488262910798,,1.7992984261363745,99.76995970819969,17.76882661645193,129.8123671530042,1.7992984261363745,,25.83983206328828,6.972810111699001,5.577286328281111,,,,,,,,943.2999999999998,6.205921052631578,943.2999999999998,6.205921052631578,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Mookie Betts","LAD",143,649,550,153,87,33,2,31,112,100,86,3,101,8,5,0,,12,3,0.2781818181818182,0.1325115562403698,0.15562403697996918,0.8514851485148515,0.38058551617873654,0.5145454545454545,0.3818227612750818,0.895130970724191,0.23636363636363633,4.987549395718554,0.28841607565011823,,-0.23774609994143248,113.27523515086133,34.19836237739285,143.21303283635595,-0.23774609994143248,,34.50610077559461,-0.7153732144503229,5.568385474418605,,,,,,,,1001.6999999999999,7.0048951048951045,1001.6999999999999,7.0048951048951045,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Fernando Tatis Jr.","SDP",142,624,555,149,79,32,2,36,102,101,60,2,141,4,4,1,,26,4,0.26846846846846845,0.09615384615384616,0.22596153846153846,0.425531914893617,0.3418940609951846,0.527927927927928,0.3672662464700843,0.8698219889231126,0.25945945945945953,6.074158926339314,0.29581151832460734,,2.4252654728479683,101.36808582788117,25.337317552620252,135.4437017913843,2.4252654728479683,,29.82473290778481,2.3216929309582586,5.319718021766543,,,,,,,,952.1999999999999,6.705633802816901,952.1999999999999,6.705633802816901,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Adley Rutschman","BAL",135,578,497,132,79,34,1,18,77,69,72,3,88,5,4,0,,2,1,0.2655935613682093,0.1245674740484429,0.1522491349480969,0.8181818181818182,0.3615916955017301,0.44668008048289737,0.35008383688719374,0.8082717759846274,0.1810865191146881,2.8703360801845426,0.28860759493670884,,-1.2009619525633752,85.64733468453444,15.221398685975437,126.0206503851029,-1.2009619525633752,,16.820024668621336,15.618753674309229,5.2145929247707645,,,,,,,,747.6999999999999,5.538518518518518,747.6999999999999,5.538518518518518,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"José Ramírez","CLE",150,649,571,158,90,38,4,26,90,95,68,16,76,4,6,0,,22,5,0.276707530647986,0.10477657935285054,0.11710323574730354,0.8947368421052632,0.3543913713405239,0.4938704028021016,0.3541298048191161,0.8482617741426255,0.21716287215411562,5.752481543089308,0.27789473684210525,,1.164661799557507,98.34879543715515,19.27192266368664,127.45142167094774,1.164661799557507,,22.511920636420914,6.484626594814814,5.114545365698129,,,,,,,,934.9999999999999,6.2333333333333325,934.9999999999999,6.2333333333333325,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Trea Turner","PHI",148,655,601,174,112,34,4,24,98,85,45,1,128,5,4,0,,27,2,0.2895174708818636,0.06870229007633588,0.19541984732824427,0.3515625,0.3419847328244275,0.47920133111480867,0.3513081120241673,0.8211860639392361,0.1896838602329451,6.66295978018867,0.33112582781456956,,3.3153190896846354,97.72308280059109,17.91514494755278,120.456186468302,3.3153190896846354,,19.914414901016006,8.720017636684304,5.07454104626767,,,,,,,,916.1,6.189864864864865,916.1,6.189864864864865,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
"Corey Seager","TEX",126,556,492,145,87,31,1,26,81,84,54,7,88,5,5,0,,2,1,0.29471544715447157,0.09712230215827339,0.15827338129496402,0.6136363636363636,0.3669064748201439,0.5203252032520326,0.3740439239095469,0.8872316780721765,0.225609756097561,2.902265986798807,0.31070496083550914,,-1.0930902217514813,93.45122898843977,25.705864948303432,140.03496516877487,-1.0930902217514813,,25.578371938866557,5.528747771572604,5.006444536919299,,,,,,,,838,6.650793650793651,838,6.650793650793651,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
